time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,,,39,5
2024-11-19 00:00:00+00:00,1.0,1.0,69,9
2024-11-20 00:00:00+00:00,,,71,6
2024-11-21 00:00:00+00:00,,,92,10
2024-11-22 00:00:00+00:00,,,12,3
2024-11-23 00:00:00+00:00,,,8,4
2024-11-24 00:00:00+00:00,,,4,3
2024-11-25 00:00:00+00:00,,,11,2
2024-11-26 00:00:00+00:00,1.0,1.0,63,5
2024-11-27 00:00:00+00:00,1.0,1.0,19,4
2024-11-28 00:00:00+00:00,,,38,8
2024-11-29 00:00:00+00:00,,,28,5
2024-11-30 00:00:00+00:00,,,1,1
2024-12-01 00:00:00+00:00,,,17,2
2024-12-02 00:00:00+00:00,,,1,1
