url_path,views_total,views_unique
/gem/global_exposure_model,92,49
/gem/global_exposure_model/tree/main/Europe,31,19
/gem/global_exposure_model/tree/main,21,15
/gem/global_exposure_model/tree/main/Europe/Turkey,14,10
/gem/global_exposure_model/tree/main/Southeast_Asia/Philippines,12,2
/gem/global_exposure_model/blob/main/Europe/Albania/Exposure_Com_Albania_Adm1.csv,11,4
/gem/global_exposure_model/tree/main/Europe/Germany,10,6
/gem/global_exposure_model/tree/main/Africa,10,5
/gem/global_exposure_model/tree/main/South_America/Peru,10,1
/gem/global_exposure_model/tree/main/Caribbean_Central_America/Costa_Rica,9,4
