time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,1,1,2.0,1.0
2025-02-13 00:00:00+00:00,18,1,6.0,2.0
2025-02-14 00:00:00+00:00,26,2,10.0,2.0
2025-02-15 00:00:00+00:00,18,1,1.0,1.0
2025-02-16 00:00:00+00:00,18,1,1.0,1.0
2025-02-17 00:00:00+00:00,18,1,2.0,2.0
2025-02-18 00:00:00+00:00,20,1,8.0,2.0
2025-02-19 00:00:00+00:00,24,1,,
2025-02-20 00:00:00+00:00,18,1,,
2025-02-21 00:00:00+00:00,18,1,13.0,2.0
2025-02-22 00:00:00+00:00,18,1,,
2025-02-23 00:00:00+00:00,19,2,,
2025-02-24 00:00:00+00:00,128,10,222.0,2.0
2025-02-25 00:00:00+00:00,98,8,136.0,8.0
2025-02-26 00:00:00+00:00,15,2,8.0,1.0
